product_id,product_name,category_id
FUR-BO-10001798,Bush Somerset Collection Bookcase,9
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,2
FUR-CH-10000454,Hon Deluxe Fabric Upholstered Stacking Chairs  Rounded Back,10
OFF-AR-10002833,Newell 322,3
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,12
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,8
OFF-ST-10000760,Eldon Fold N Roll Cart System,7
FUR-FU-10001487,Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood,15
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,17
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,1
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,8
TEC-PH-10002033,Konftel 250 Conference phone Charcoal black,2
OFF-PA-10002365,Xerox 1967,14
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,17
OFF-AP-10002311,Holmes Replacement Filter for HEPA Air Cleaner  Very Large Room  HEPA Filter,1
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,17
OFF-ST-10004186,Stur-D-Stor Shelving  Vertical 5-Shelf: 72H x 36W x 18 1/2D,7
OFF-ST-10000107,Fellowes Super Stor/Drawer,7
OFF-AR-10003056,Newell 341,3
TEC-PH-10001949,Cisco SPA 501G IP Phone,2
OFF-BI-10002215,Wilson Jones Hanging View Binder  White  1,17
OFF-AR-10000246,Newell 318,3
OFF-AP-10001492,Acco Six-Outlet Power Strip  4 Cord Length,1
FUR-CH-10002774,Global Deluxe Stacking Chair  Gray,10
OFF-BI-10001634,Wilson Jones Active Use Binders,17
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,11
FUR-BO-10004834,Riverside Palais Royal Lawyers Bookcase  Royale Cherry Finish,9
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,17
FUR-FU-10004848,Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock,15
OFF-EN-10001509,Poly String Tie Envelopes,13
OFF-AR-10004042,BOSTON Model 1800 Electric Pencil Sharpeners  Putty/Woodgrain,3
OFF-BI-10001525,Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Executive Red,17
OFF-AR-10001683,Lumber Crayons,3
OFF-PA-10000249,Easy-staple paper,14
TEC-PH-10004977,GE 30524EE4,2
FUR-FU-10003664,Electrix Architects Clamp-On Swing Arm Lamp  Black,15
OFF-EN-10002986,#10-4 1/8 x 9 1/2 Premium Diagonal Seam Envelopes,13
FUR-BO-10002545,Atlantic Metals Mobile 3-Shelf Bookcases  Custom Colors,9
FUR-CH-10004218,Global Fabric Managers Chair  Dark Gray,10
TEC-PH-10000486,Plantronics HL10 Handset Lifter,2
TEC-PH-10004093,Panasonic Kx-TS550,2
OFF-ST-10003479,Eldon Base for stackable storage shelf  platinum,7
OFF-ST-10003282,Advantus 10-Drawer Portable Organizer  Chrome Metal Frame  Smoke Drawers,7
TEC-AC-10000171,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  25/Pack,11
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,17
OFF-ST-10001713,Gould Plastics 9-Pocket Panel Bin  18-3/8w x 5-1/4d x 20-1/2h  Black,7
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,11
TEC-PH-10003988,LF Elite 3D Dazzle Designer Hard Case Cover  Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite,2
OFF-BI-10004410,C-Line Peel & Stick Add-On Filing Pockets  8-3/4 x 5-1/8  10/Pack,17
OFF-LA-10002762,Avery 485,12
FUR-FU-10001706,Longer-Life Soft White Bulbs,15
FUR-CH-10003061,Global Leather Task Chair  Black,10
OFF-FA-10000304,Advantus Push Pins,16
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,2
OFF-ST-10000604,Home/Office Personal File Carts,7
OFF-PA-10001569,Xerox 232,14
FUR-CH-10003968,Novimex Turbo Task Chair,10
OFF-PA-10000587,Array Parchment Paper  Assorted Colors,14
OFF-BI-10001460,Plastic Binding Combs,17
OFF-AR-10001868,Prang Dustless Chalk Sticks,3
TEC-AC-10004633,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  3/Pack,11
OFF-BI-10001078,Acco PRESSTEX Data Binder with Storage Hooks  Dark Blue  14 7/8 X 11,17
OFF-PA-10003892,Xerox 1943,14
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,15
FUR-CH-10001146,Global Value Mid-Back Managers Chair  Gray,10
OFF-AR-10002671,Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener  Beige,3
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,2
OFF-PA-10000482,Snap-A-Way Black Print Carbonless Ruled Speed Letter  Triplicate,14
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,17
OFF-PA-10004675,Telephone Message Books with Fax/Mobile Section  5 1/2 x 3 3/16,14
FUR-CH-10000513,High-Back Leather Managers Chair,10
FUR-FU-10003708,Tenex Traditional Chairmats for Medium Pile Carpet  Standard Lip  36 x 48,15
OFF-ST-10004123,Safco Industrial Wire Shelving System,7
OFF-BI-10004182,Economy Binders,17
FUR-FU-10000260,6 Cubicle Wall Clock  Black,15
OFF-ST-10000615,SimpliFile Personal File  Black Granite  15w x 6-15/16d x 11-1/4h,7
FUR-FU-10003194,Eldon Expressions Desk Accessory  Wood Pencil Holder  Oak,15
OFF-AP-10002118,1.7 Cubic Foot Compact Cube Office Refrigerators,1
OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,17
OFF-AR-10002053,Premium Writing Pencils  Soft  #2 by Central Association for the Blind,3
OFF-ST-10002370,Sortfiler Multipurpose Personal File Organizer  Black,7
OFF-EN-10000927,Jet-Pak Recycled Peel N Seal Padded Mailers,13
OFF-ST-10003656,Safco Industrial Wire Shelving,7
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,10
TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,11
OFF-LA-10000134,Avery 511,12
OFF-ST-10003442,Eldon Portable Mobile Manager,7
OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,3
OFF-PA-10000304,Xerox 1995,14
OFF-PA-10003177,Xerox 1999,14
FUR-FU-10003799,Seth Thomas 13 1/2 Wall Clock,15
OFF-BI-10002852,Ibico Standard Transparent Covers,17
OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,17
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,15
OFF-BI-10001721,Trimflex Flexible Post Binders,17
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,1
OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,14
TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,11
OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,17
OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),14
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,11
FUR-FU-10004006,Deflect-o DuraMat Lighweight  Studded  Beveled Mat for Low Pile Carpeting,15
OFF-BI-10002794,Avery Trapezoid Ring Binder  3 Capacity  Black  1040 sheets,17
TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,11
TEC-PH-10002844,Speck Products Candyshell Flip Case,2
OFF-AR-10000390,Newell Chalk Holder,3
TEC-AC-10000844,Logitech Gaming G510s - Keyboard,11
FUR-FU-10001934,Magnifier Swing Arm Lamp,15
OFF-AR-10000380,Hunt PowerHouse Electric Pencil Sharpener  Blue,3
OFF-BI-10003981,Avery Durable Plastic 1 Binders,17
OFF-FA-10000621,OIC Colored Binder Clips  Assorted Sizes,16
OFF-EN-10002600,Redi-Strip #10 Envelopes  4 1/8 x 9 1/2,13
OFF-PA-10004965,Xerox 1921,14
OFF-EN-10002504,Tyvek  Top-Opening Peel & Seel Envelopes  Plain White,13
FUR-TA-10001768,Hon Racetrack Conference Tables,8
OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,17
FUR-FU-10002157,Artistic Insta-Plaque,15
OFF-ST-10000777,Companion Letter/Legal File  Black,7
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,13
TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,2
FUR-CH-10004063,Global Deluxe High-Back Managers Chair,10
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,8
OFF-BI-10003274,Avery Durable Slant Ring Binders  No Labels,17
OFF-ST-10002974,Trav-L-File Heavy-Duty Shuttle II  Black,7
